video_id,time,author,text
G7Rusqg2LqY,2 tygodnie temu,@bori3325,Mentzen nadrobił po ostatnim
_nng5S5nYOQ,2 tygodnie temu,@piotrnowak3548,"...""eksperci tvn""... 😂"
257q2y03Hgc,3 tygodnie temu,@arkadiuszmarzec5995,Jaką demokrację?😂
lr3gjsSY_co,5 dni temu,@mariuszszuszkiewicz6865,"Kukkurykuuuu 🐓 
Witam i dobrego dnia Słowianie ☀️🐓🇵🇱 
Ku Słońcu, Ku-Ra!"
mDGdhM32fPE,1 miesiąc temu,@WilczekAnia," @Tytus-e1x  Dokładnie, już tak robią"
XBv-L_EY4nw,1 miesiąc temu,@krzysztofguz2679,Oni wszyscy wygadują głupoty.. stanowski ma tylko wyrąbane
mDGdhM32fPE,1 miesiąc temu,@ukaszskr5127,niestety. Ta partia niczego się nie nauczyła od 2015 roku. Mówię to jako zdecydowany przeciwnik tego co robił PiS przez ostatnie dwie kadencje...
-JH9onEuq9M,5 dni temu,@zwykylis6067," @waldek2303 to chyba tobie się coś pomyliło, bo nie potrafisz czytać ze zrozumieniem"
k2dYi3qlfpQ,2 dni temu,@ksawerytrebicki9260,Brawo dla Sławomir metzen który obnaża kłamstwo dupiarza Trzaskowskiego 👏🏻👏🏻👏🏻
5MkDICV7Trs,1 dzień temu,@Barbara.Jarosik," @januszek58  Nie atakuję, tylko wyrażam swoją opinię o wyglądzie Trzaskowskiego. W moim odczuciu wygląda niechlujnie."
xO5zkaXG8NE,2 tygodnie temu,@adroandro2768,Karolku może to twój prezydent ale nie moj. On jest jedynie długopisem i pachołkiem kaczki.
VMmhsHJ69To,2 dni temu,@amnioandy,P BRAUN vs oprawcy Polski tylko GRZEGORZ!!!!
vjf3BzpqDAk,2 tygodnie temu,@mariabaginska6056,"Zabierano Kościołowi ziemie.Klasztorom nawet budynki a zwracano bardzo zniszczone!!! Niech pani nie czepia Kościoła a zajrzy w swoje sumienie!! Pani Zsenyszyn słabo Pani się orientuje w tym jak bardzo Kościól i klasztory ucierpaly ,zwalniano siostry ze szpitali,zabierano przedszkola Siostrm. Niech Pan poczyta!!!!"
drhIr2sYbzU,1 dzień temu (edytowany),@tomaszkowal7316,Pusty kufel Pusta kieszeń a i tak się polityką śmieszę.:)))
hDemaLdJbr4,2 tygodnie temu,@morgard6604,Jeśli nie wiesz kto Tobą rządzi sprawdź kogo nie wolno Ci obrazić. Jak się wszyscy rzucili 😂 Idealnie Grzegorz Braun pociągnął temat rzymian teraz wiemy kto nami rządzi a przynajmniej ma w garści naszych polityków.
F1udb2xAcE0,2 dni temu,@bogdankupiec3040,O by się  ze stali 😂😂😂
DNJ2CQ7D-84,8 dni temu,@tomaszkordonski4585,"Myślę,że Trzaskowski,to już jest tak w tym wszystkim zatopiony,że ma już wyłączone rozsądek i myślenie. Pływa w tym jak rybka w  wodzie. A jak ktoś go z tego wyciąga,to reaguje jak rybka wyjęta z akwarium,rzuca się i chaustami łapie powietrze....
Szczerze się obruszył bo w te swoje dyrdymały wierzy! Wyszedł z tego studio,jak senator Kozioł z Wilkowyj😂😂😂"
SIHYSbcvPzY,4 dni temu,@annapodniesinska6201,"@i0intense0i67  Ja znam większość młodych ludzi, którzy nie chcą mieszkać z rodzicami tylko oddzielnie i nie korzystają z propozycji rodziców.  Wolą zakredytowac się.  A niektórzy mogliby mieć inną sytuację gdyby tylko chcieli iść pod prąd i dać sobie np 2-4 lata na nazbieranie pieniędzy. Ale wiem, że jest dużo osób, które nie mają takich możliwości."
jn8vgVIm_cw,1 dzień temu,@pucek365, @Niemen2  Przeczytaj jeszcze raz mój komentarz
P1VIeoKuv3k,1 dzień temu (edytowany),@AresGoda,"TVPropaganda. Kto to wogole jeszcze ogląda ?!

PS: czemu nigd nie mowie ze Prezes TVP organizuje w spółce u Trzaskowskiego"
zchQKkgU2C4,10 dni temu,@Vizone70,Mamy już Film na tegorocznego Oscara
AB5A2kMUpEo,1 miesiąc temu,@albertwolanski7688,Aborcje nalezy wyrzucic z debaty politycznej. Decyzja powinna nalezec do rodzicow. Za komuny aborcja byla legalna i dostepna a mimo to nie bylo problemu z polska demografia.
JMcE6H-m-os,10 godzin temu,@az092536,Ta mina Bążura😂😂😂
9evQ1IszSVY,1 miesiąc temu,@fionajm99,"Dokładnie tak. Sondaże są po to, aby udawać, że trzeba wybrać mniejsze zło,  że niby nie ma wyjścia. To czysta manipulacja. zawsze jest wyjście, trzeba tylko uruchomić samodzielne myślenie. Polacy głosujcie na kogo chcecie, ale zgodnie ze swoją wolą, aby to była własna i najlepiej przemyślana decyzja wynikająca z samodzielnego poznania działalności wszystkich kandydatów, a nie manipulacji sondażowych."
Bo_BY3jPsSY,2 tygodnie temu,@AdamBryk-z3m,Jak wy możecie powiedzieć że Trzaskowski wypadł najlepiej gdy spocił się jak świnia nie obrażając zwierząt i uciekał z mównicy 😢
vjf3BzpqDAk,2 tygodnie temu,@Maria-g2v7q,Trzaskowski to jakis nawiedzony ..😂
AB5A2kMUpEo,1 miesiąc temu,@Mhelkir_1,"​ @paweszczech7485 a wiesz co zrobi? Dziś słyszymy że poglądy Mentzena z 2015 to były żarty, postulaty likwidacji PIT i CIT z 2016 to ""tylko ćwiczenie intelektualne"", a (z innego wywiadu) 100 ustaw Mentzena z 2019 to nieaktualny projekt i on nie chce o nich rozmawiać. Jakie on właściwie ma poglądy i co chce zrobić? Na stronie jego partii Nowa Nadzieja nie ma programu."
94_Obg8edkA,8 dni temu,@0001jkl,"Najweselszy moment, to ten gdy POwniczka m{ei, że będą budować elektrownie atomowe:) Zatrudnijcie Grada, ma 8 lat doświadczenia!"
HVlCQMtXZFU,2 dni temu,@teresagdansk4329,Gdzie  jest  solidarność   dziennikarska   Mądraliińska
-JH9onEuq9M,6 dni temu,@Rafa-tv5uf,😂😂😂
P1VIeoKuv3k,1 dzień temu,@fusek66,"Jesteście bezczelni. Hołownia ma tu dwóch przedstawicieli, a nikogo nie zaprosiliście z partii Razem. Czysta woda, hatfu"
94_Obg8edkA,6 dni temu,@wolnyczowiek8705,"Wie ktoś gdzie muszę pójść, żeby złapać takiego pokemona jak ta rosa?"
e8XqrdckYCw,2 tygodnie temu,@Paranoia-sx3wo," @TheTT1985  Moim zdaniem wcale to nie oznaczało porażki Hołowni przy całym braku szacunku do tego podludzia, ale jednak jego doświadczenie przed kamerami jest gigantyczne a plecenie ozorem pustych frazesów dużo lepsze niż u Trzaskowskiego, który potrzebuje pomocy pani psycholog przy udziałach w debatach nie ustawionych przez jego ludzi. Mentzena lubię i zgadzam się z nim w wielu kwestiach, ale wystąpienia kameralne powinien ostro potrenować i przy upartości w drodze do celu i pod warunkiem, że nie zmieni swoich poglądów, może to być świetny polityki lecz nie musi."
t9uEk-xqlOI,1 miesiąc temu,@andrzejhahn8117,i ty masz cieczkę na geja jarosława kaczyńskiego...................
Vx5_YGvyhgY,4 tygodnie temu (edytowany),@MarekKR69,"​​ @UnknownUnrecognized myślę że 10 lat to za krótki okres na możliwość przemiany człowieka i na zmianę poglądów jeżeli były błędne, masz rację, może 20 lat to tak juz możliwe ale mało prawdopodobne 😅"
P1VIeoKuv3k,2 dni temu,@miejwlasnystyl,Przyszlam po to samo i się nie zawiodłam
fET8Eqgq6b8,2 tygodnie temu,@Raniuszek726,Ten typek to ruski agent
MeLkFYaQVrQ,2 tygodnie temu,@rolandczubak6372,Artur Bartoszewicz 🇵🇱💪❤️
257q2y03Hgc,1 miesiąc temu,@mariannakaminska3852,Pan Maciak jest z Włocławka  . .  ?
VUYpDca39E8,1 miesiąc temu,@VencDom_KM,"Nie popieram Pana Brauna w wyborach, ale bardzo szanuję jego spokój w wypowiedziach i głosie, a także szacunek, jaki okazuje rywalom."
EpUhR6x10Ww,4 tygodnie temu,@lukaszp6823,Zastanawiam się kto na tego Nawrockiego głosuję toż to ani rozumu ani wyglądu.
VaC3mfIZ5pQ,2 tygodnie temu,@aleksandermazur4223,Preezydent Selfiarzy ?
HVlCQMtXZFU,1 dzień temu,@andrzejmalachowski7265,"Pani Dominiko krótko kwitując Stanowskiego, ham to mało powiedzane to jest celebryta który kiedyś skoniczy bardzo marnie jak wszyscy celebryci którzy pokazują swoją wyższość aż przychodzi momęt że upadają nisko 😂"
xV4l9VVbdjU,17 godzin temu,@JsjsHssha,No na pewno  bo wina jest zawsze chłopa
sTLFTbobcQw,1 dzień temu,@mieczysawplewinski4633,Czy Nawrocki już wie jak się zachować przyzwoicie?
YM0zHIcBEwg,1 dzień temu,@KurtRolson07,"Bartoszewski nie był profesorem, magistrem też nie był"
kNOy3z2kl68,1 miesiąc temu,@jagajaga6083,"mat, też o tym pomyślałam."
of92jhSUDyI,1 miesiąc temu,@helkawypych9515,"Jesteś  kobieto Wielka,,,❤❤❤❤❤"
stqR3s2vYig,1 dzień temu,@pawemazurkiewicz937,"No nie mogę rafałek poucza o prawdomówności 😂😂😂😂
Braun, Mentzen, Jakubiak ewentualnie Bartoszewicz to jedyna nadzieja dla Polski.😊😊"
ITOoSsfuYY0,1 dzień temu,@zabieraj6544,Dupiarz się zagotował.
kNOy3z2kl68,1 miesiąc temu,@PkPk-ez3bz,"Bardzo dziękuję za wspaniały wywiad. 
Jestem za P. Grzegorzem."
K4g_S65Yg-0,1 dzień temu (edytowany),@arek-b8j,braun by zezwolił na KS bez procesu - ciekawe kto by miał podejmować takie decyzje ? (poziom michnika albo gorzej)
gE0laXVB0qw,5 dni temu,@Kosowicki-FinanceLexGroupe,tylko KONFEDERACJA i Mentzen 🇵🇱🇵🇱🇵🇱
